,Token Name,Address,Address Url,Crypto Type,Time Stamp,Max Supply,# of Holder,Transfers,Decimals,Token Type,Price,Market Cap,VolumeTwentyFour,Circulating Supply,Exchanges
0,Bitcoin,,,,01/06/2021 16:50:05,18.72 million,,,N/A,Common,"36,260.11",678.93 billion,30.75 billion,18.72 million,"Binance,Huobi Global,OKEx,Coinbase Pro,Bitcoin.com,Changelly PRO,DigiFinex,FTX,Kraken,Upbit,Bitrue,BKEX,BitMart,GMO Japan,Coinhe,WhiteBIT,Bilaxy,DragonEx,OceanEx,Bitforex,Nominex.io,Virtuse Exchange,CoinField,Bitkub,Nami,Bitso,Bitfox,Bitinka,Thore Exchange,ABCC,Bit2C,RightBTC,Beaxy,BTC-Exchange,Paribu,TideBit,AnkerSwap,Braziliex,Bisq,Polarity.Exchange"
1,Ethereum,0x2170ed0880ac9a755fd29b2688956bd959f933f8,https://bscscan.com/token/0x2170ed0880ac9a755fd29b2688956bd959f933f8,Binance,01/06/2021 16:50:18,116.12 million,315547,-,N/A,Common,"2,571.43",297.52 billion,24.79 billion,115.70 million,"Binance,Huobi Global,Coinbase Pro,Upbit,OKEx,FTX,Changelly PRO,Bitcoin.com,Kraken,DigiFinex,Coinhe,BitMart,Bitrue,Bilaxy,BKEX,BTCAlpha,ExMarkets,WhiteBIT,dcoin,ZB Global,Atomars,KickEX,Honeyswap,CoinField,Nami,Virtuse Exchange,MAX Exchange,Bitfox,Thore Exchange,Zaif,Nash,Bololex,Coinmate,TradeOgre,Beaxy,Bitcratic,Mushino,BC Bitcoin,TideBit,BTC Trade UA"
2,Tether USD,,,,01/06/2021 16:50:22,62.13 billion,,,N/A,Common,1.00,62.04 billion,69.81 billion,61.97 billion,"Binance,Huobi Global,OKEx,DigiFinex,Changelly PRO,Kucoin,Gate.io,FTX,Kraken,Bitfinex,INDOEX,Bitforex,AEX,LATOKEN,TOKOK,BTCAlpha,OceanEx,FLYBIT,WTZ Exchange,ExMarkets,Bgogo,Paribu,BTSE,Kuna,Polarity.Exchange,IndependentReserve,Float SV,TradeOgre,NovaDAX,CREX24"
3,Cardano,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,https://bscscan.com/token/0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,Binance,01/06/2021 16:50:34,31.11 billion,98835,1388286,N/A,Common,1.72,53.53 billion,3.52 billion,31.11 billion,"Binance,Coinbase Pro,Upbit,Huobi Global,Kraken,Kucoin,DigiFinex,Changelly PRO,Bitcoin.com,Gate.io,AscendEX (BitMax),NovaDAX,Bitcoiva,Bitladon,PancakeSwap,CoinDCX,Paribu,Float SV,tokenize,CREX24"
4,Binance Coin,,,,01/06/2021 16:50:36,140.35 million,,,N/A,Common,353.19,48.38 billion,2.70 billion,136.97 million,"Binance,FTX,Gate.io,Kucoin,Indodax,Binance DEX,Bithumb Global,Changelly PRO,Bitcoin.com,Bithumb,XBTPro,FINEXBOX,Bitladon,CoinDCX,NovaDAX,Kuna,SouthXchange,STEX,CREX24,BC Bitcoin"
5,Dogecoin,0xba2ae424d960c26247dd6c32edc70b295c744c43,https://bscscan.com/token/0xba2ae424d960c26247dd6c32edc70b295c744c43,Binance,01/06/2021 16:50:47,129.83 billion,110194,1081640,N/A,Common,0.3440,44.66 billion,3.62 billion,129.83 billion,"Binance,Upbit,Huobi Global,OKEx,Gate.io,DigiFinex,Kucoin,FTX,Bithumb,Bittrex,AscendEX (BitMax),Bibox,Coineal,BuyUcoin,Hotbit,EXRATES,VinDAX,Bitladon,Dexzbitz,BitUBU"
6,XRP,0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe,https://bscscan.com/token/0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe,Binance,01/06/2021 16:51:00,99.99 billion,68026,896096,N/A,Common,1.00,44.17 billion,6.82 billion,44.07 billion,"Binance,Upbit,Huobi Global,Bithumb,OKEx,DigiFinex,Bitstamp,Changelly PRO,Bitcoin.com,Gate.io,Coinsbit,DragonEx,VinDAX,FLYBIT,Bitvast,AEX,CoinEx,CoinField,Dex-Trade,OceanEx,CoinDCX,Kuna,TradeOgre,Coinmate,BTC Trade UA,PayRue,CREX24,PancakeSwap,RightBTC,Felixo"
7,HEX,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,https://etherscan.io/token/0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,Etherium,01/06/2021 16:51:11,571.78 billion,214745 ( 0.047%),1646181,N/A,Common,0.0532,30.39 billion,27.37 million,571.53 billion,"Uniswap v2,Bitcoin.com,BitMart,Bilaxy,HitBTC,Honeyswap,Folgory,Hotbit,Uniswap,Bitcratic"
8,Polkadot,0x7083609fce4d1d8dc0c979aab8c869ea2c873402,https://bscscan.com/token/0x7083609fce4d1d8dc0c979aab8c869ea2c873402,Binance,01/06/2021 16:51:22,1.08 billion,48078,1720079,N/A,Common,22.35,24.13 billion,1.75 billion,1.08 billion,"Binance,Huobi Global,OKEx,DigiFinex,Kraken,Gate.io,Kucoin,Bitfinex,Crypto.com,Bittrex,BitBay,Bitladon,Float SV,OKCoin,BC Bitcoin,PayRue,STEX,Honeyswap"
9,USDC,,,,01/06/2021 16:51:25,22.05 billion,,,N/A,Common,1.00,22.06 billion,1.69 billion,22.05 billion,"Binance,Coinbase Pro,SushiSwap,Uniswap v2,Bitcoin.com,Changelly PRO,Kraken,Curve,Poloniex,Kucoin,tokenize,Atomars,Nominex.io,CoinField,Bibox,FINEXBOX,Nami,Bitrue,TOKOK,MERCATOX"
