,Token Name,Address,Address Url,Crypto Type,Time Stamp,Max Supply,# of Holder,Transfers,Decimals,Token Type,Price,Market Cap,VolumeTwentyFour,Circulating Supply,Exchanges,CoinRankUrl
0,Bitcoin,,,,21/06/2021 21:24:06,18.74 million,,,N/A,Common,"32,661.68",612.09 billion,54.43 billion,18.74 million,"Binance,Huobi Global,OKEx,Coinbase Pro,Bitfinex,DigiFinex,FTX,Upbit,Bitcoin.com,Kraken,HitBTC,Bitwired,GMO Japan,BeQuant,Bibox,BKEX,Simex,Bitrue,WhiteBIT,Bilaxy,KickEX,tokenize,BTCAlpha,Bitkub,Nami,Bitso,CoinField,MERCATOX,BTCMarkets,ABCC,BuyUcoin,txbit,BTC-Exchange,Dove Wallet,Graviex,Paribu,RightBTC,Nash,SIGEN.pro,Vitex",https://coinranking.com/coin/Qwsogvtv82FCd+bitcoin-btc
1,Ethereum,0x2170ed0880ac9a755fd29b2688956bd959f933f8,https://bscscan.com/token/0x2170ed0880ac9a755fd29b2688956bd959f933f8,Binance,21/06/2021 21:24:19,116.39 million,353649,7465106,N/A,Common,"1,964.39",227.81 billion,35.25 billion,115.97 million,"Binance,Huobi Global,Coinbase Pro,Bitfinex,Upbit,OKEx,Bitcoin.com,Changelly PRO,FTX,Kraken,LBank,HitBTC,ABIT,BeQuant,BiKi,Bibox,INDOEX,ExMarkets,Bilaxy,BKEX,CoinEx,Bitinka,Nami,KickEX,Honeyswap,MAX Exchange,CoinDeal,CoinField,IndependentReserve,CoinJar,Bit2C,TideBit,XBTPro,BTC-Exchange,Nash,Bololex,AnkerSwap,Vitex,Mushino,SatoExchange",https://coinranking.com/coin/razxDUgYGNAdQ+ethereum-eth
2,Tether USD,,,,21/06/2021 21:24:23,62.84 billion,,,N/A,Common,1.00,62.74 billion,83.13 billion,62.67 billion,"Binance,Huobi Global,OKEx,DigiFinex,Changelly PRO,Kucoin,Gate.io,BitMart,Bitfinex,FTX,dcoin,DragonEx,AEX,BW,WTZ Exchange,LATOKEN,INDOEX,ExMarkets,FLYBIT,TOKOK,Float SV,tokenize,GDAC,IndependentReserve,TradeOgre,FINEXBOX,Bgogo,Narkasa,BTSE,Kuna",https://coinranking.com/coin/HIVsRcGKkPFtW+tetherusd-usdt
3,Binance Coin,,,,21/06/2021 21:24:25,140.35 million,,,N/A,Common,280.40,38.41 billion,2.82 billion,136.97 million,"Binance,BitMart,Bithumb,FTX,Kucoin,Gate.io,Indodax,Bithumb Global,Binance DEX,THORChain,BitoPro,NovaDAX,XBTPro,Bitladon,CoinDCX,FINEXBOX,Kuna,STEX,SouthXchange,BC Bitcoin",https://coinranking.com/coin/WcwrkfNI4FUAe+binancecoin-bnb
4,Cardano,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,https://bscscan.com/token/0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,Binance,21/06/2021 21:24:36,31.11 billion,107418,1603919,N/A,Common,1.23,38.18 billion,3.98 billion,31.11 billion,"Binance,Changelly PRO,Bitcoin.com,Coinbase Pro,Upbit,Huobi Global,Kraken,Kucoin,DigiFinex,Bitvavo,MXC,NovaDAX,BTSE,Bitladon,Bitcoiva,PancakeSwap,HollaEx,CoinDCX,IndependentReserve,Float SV",https://coinranking.com/coin/qzawljRxB5bYu+cardano-ada
5,XRP,0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe,https://bscscan.com/token/0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe,Binance,21/06/2021 21:24:48,99.99 billion,73280,1008107,N/A,Common,0.6190,27.28 billion,5.90 billion,44.07 billion,"Upbit,Binance,Huobi Global,Bithumb,Changelly PRO,Bitcoin.com,OKEx,DigiFinex,BitMart,Kucoin,dcoin,Bitforex,FLYBIT,TimeX,DragonEx,ProBit,VinDAX,Bitvast,CoinField,Dex-Trade,Kuna,Lykke,TheRockTrading,Paribu,Coinmate,BuyUcoin,HollaEx,CREX24,PancakeSwap,BTC Trade UA",https://coinranking.com/coin/-l8Mn2pVlRs-p+xrp-xrp
6,USDC,,,,21/06/2021 21:24:50,24.30 billion,,,N/A,Common,0.9980,24.26 billion,3.23 billion,24.30 billion,"Binance,Compound,Coinbase Pro,SushiSwap,Uniswap v2,Curve,Changelly PRO,Bitcoin.com,Kraken,Poloniex,Virtuse Exchange,Coinsbit,Nominex.io,CoinEx,AscendEX (BitMax),Bibox,tokenize,Bitrue,Dex-Trade,Nami",https://coinranking.com/coin/aKzUVe4Hh_CON+usdc-usdc
7,HEX,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,https://etherscan.io/token/0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,Etherium,21/06/2021 21:25:00,633.68 billion,220394 (0.00%),1754108,N/A,Common,0.0803,20.61 billion,36.19 million,256.77 billion,"BitMart,Uniswap v2,Bitcoin.com,Bilaxy,HitBTC,Honeyswap,Folgory,Hotbit,Dexzbitz,Uniswap",https://coinranking.com/coin/9K7m6ufraZ6gh+hex-hex
8,Polkadot,0x7083609fce4d1d8dc0c979aab8c869ea2c873402,https://bscscan.com/token/0x7083609fce4d1d8dc0c979aab8c869ea2c873402,Binance,21/06/2021 21:25:11,1.08 billion,51496,1915530,N/A,Common,16.35,17.74 billion,2.00 billion,1.08 billion,"Binance,Huobi Global,OKEx,Kraken,DigiFinex,Bithumb,Gate.io,Kucoin,Bitfinex,BitMart,BTSE,Dex-Trade,ABCC,PancakeSwap,BitBay,Bitladon,IndependentReserve,CoinDCX,ProBit,NovaDAX",https://coinranking.com/coin/25W7FG7om+polkadot-dot
9,Uniswap,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,https://etherscan.io/token/0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Etherium,21/06/2021 21:25:22,1.00 billion,249977 (0.00%),2678015,N/A,Common,16.42,9.68 billion,598.87 million,589.36 million,"Binance,OKEx,Huobi Global,Bithumb,Coinbase Pro,Gate.io,DigiFinex,Kraken,Bithumb Global,FTX,BKEX,Nami,ExMarkets,Bitforex,KickEX,Coinsbit,MXC,TOKOK,ABCC,CoinJar",https://coinranking.com/coin/_H5FVG9iW+uniswap-uni
10,Binance USD,,,,21/06/2021 21:25:23,9.65 billion,,,N/A,Common,1.00,9.66 billion,6.53 billion,9.65 billion,"Binance,THORChain,Binance DEX,Gate.io,PancakeSwap v2,WazirX,Uniswap v2,Changelly PRO,Bitcoin.com,Poloniex",https://coinranking.com/coin/vSo2fu9iE1s0Y+binanceusd-busd
11,Bitcoin Cash,,,,21/06/2021 21:25:26,18.77 million,,,N/A,Common,470.07,8.82 billion,1.65 billion,18.77 million,"OKEx,Binance,Huobi Global,DigiFinex,Upbit,Coinbase Pro,Changelly PRO,Bitcoin.com,Gate.io,BitMart,Folgory,CoinTiger,CoinEx,BKEX,WhiteBIT,Catex,Hotbit,ZB Global,TOKOK,LATOKEN,IndependentReserve,NovaDAX,Polarity.Exchange,Coinmate,Kuna,Felixo,Bitladon,Dove Wallet,Braziliex,SouthXchange",https://coinranking.com/coin/ZlZpzOJo43mIo+bitcoincash-bch
12,Litecoin,0x4338665cbb7b2485a8855a139b75d5e34ab0db94,https://bscscan.com/token/0x4338665cbb7b2485a8855a139b75d5e34ab0db94,Binance,21/06/2021 21:25:38,67.92 million,13889,582129,N/A,Common,128.68,8.74 billion,2.55 billion,67.92 million,"Binance,OKEx,Huobi Global,Changelly PRO,Bitcoin.com,Coinbase Pro,BitMart,DigiFinex,Bithumb,Gate.io,DragonEx,AEX,CoinTiger,ABIT,FINEXBOX,WhiteBIT,Coineal,BW,ZB Global,BeQuant,BitBay,XBTPro,BTCMarkets,Bololex,tokenize,Remitano,Bitsten,Bitwired,BitoPro,SIGEN.pro,Bisq,Richamster,txbit,BTCsquare,RightBTC,GDAC",https://coinranking.com/coin/D7B1x_ks7WhV5+litecoin-ltc
13,Chainlink,0x514910771af9ca656af840dff83e8264ecf986ca,https://etherscan.io/token/0x514910771af9ca656af840dff83e8264ecf986ca,Etherium,21/06/2021 21:25:50,1.00 billion,546325 (0.00%),9079610,N/A,Common,18.02,7.82 billion,1.65 billion,434.01 million,"Binance,Huobi Global,Coinbase Pro,OKEx,Upbit,DigiFinex,Bitstamp,BitMart,Gate.io,Kraken,LBank,BeQuant,AscendEX (BitMax),Dex-Trade,Coinsbit,OceanEx,Nami,BTSE,MXC,TOKOK,TheRockTrading,Felixo,Atomars,STEX,Bitwired,Brexily,RightBTC,Beaxy,resfinex,Unnamed.Exchange",https://coinranking.com/coin/VLqpJwogdhHNb+chainlink-link
14,Solana,,,,21/06/2021 21:25:52,494.52 million,,,N/A,Common,28.08,7.66 billion,1.07 billion,272.64 million,"Binance,OKEx,DigiFinex,FTX,Huobi Global,Bitfinex,Bithumb Global,BitMart,Gate.io,Crypto.com",https://coinranking.com/coin/zNZHO_Sjf+solana-sol
15,Polygon,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,https://etherscan.io/token/0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,Etherium,21/06/2021 21:26:03,10.00 billion,112484 (0.00%),1395009,N/A,Common,1.15,7.23 billion,2.00 billion,6.29 billion,"Binance,DigiFinex,Coinbase Pro,OKEx,Huobi Global,FTX,BitMart,Kucoin,Gate.io,WazirX,Bitladon,ProBit,AnkerSwap,Kyber Network,Hotbit,tokenize,Dove Wallet,Atomars,Catex",https://coinranking.com/coin/uW2tk-ILY0ii+polygon-matic
16,Theta Token,,,,21/06/2021 21:26:04,1.00 billion,,,N/A,Common,6.67,6.67 billion,528.19 million,999.94 million,"Binance,OKEx,Huobi Global,Upbit,DigiFinex,BitMart,Kucoin,Bithumb,Gate.io,Indodax",https://coinranking.com/coin/B42IRxNtoYmwK+thetatoken-theta
17,Wrapped BTC,,,,21/06/2021 21:26:06,"191,724.79",,,N/A,Common,"33,163.22",6.36 billion,52.68 million,"191,724.79","SushiSwap,Uniswap v2,Curve,1inch,Gate.io,Compound,CEX.io,Currency.com,Kyber Network,Bilaxy",https://coinranking.com/coin/x4WXHge-vvFY+wrappedbtc-wbtc
18,VeChain,,,,21/06/2021 21:26:07,85.99 billion,,,N/A,Common,0.0785,5.12 billion,1.10 billion,65.24 billion,"Binance,Upbit,Huobi Global,Kucoin,Bitvavo,DigiFinex,BitMart,Bithumb,Bitcoin.com,Crypto.com",https://coinranking.com/coin/FEbS54wxo4oIl+vechain-vet
19,Terra,,,,21/06/2021 21:26:09,995.05 million,,,N/A,Common,5.05,5.02 billion,22.12 million,995.05 million,"Kucoin,Coinone,Bittrex,Upbit,Bitrue",https://coinranking.com/coin/AaQUAs2Mc+terra-luna
20,Stellar,,,,21/06/2021 21:26:11,50.00 billion,,,N/A,Common,0.2442,4.93 billion,972.50 million,20.21 billion,"Binance,Coinbase Pro,OKEx,Bithumb,Upbit,Changelly PRO,Bitcoin.com,Huobi Global,Bitstamp,DigiFinex,OceanEx,CoinJar,ExMarkets,Nami,Coinsbit,Bitkub,Catex,PayRue,Coineal,FINEXBOX",https://coinranking.com/coin/f3iaFeCKEmkaZ+stellar-xlm
21,Dai,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,https://etherscan.io/token/0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,Etherium,21/06/2021 21:26:22,4.84 billion,178012 (0.00%),3153333,N/A,Common,1.00,4.85 billion,1.01 billion,4.84 billion,"Compound,Binance,Curve,SushiSwap,Coinbase Pro,Uniswap v2,Huobi Global,Changelly PRO,Bithumb,Gemini",https://coinranking.com/coin/MoTuySvg7+dai-dai
22,Internet Computer (DFINITY),,,,21/06/2021 21:26:24,469.21 million,,,N/A,Common,37.93,4.74 billion,341.53 million,125.07 million,"Binance,Coinbase Pro,Huobi Global,DigiFinex,OKEx,Kucoin,BitMart,Gate.io,CoinList,BKEX",https://coinranking.com/coin/aMNLwaUbY+internetcomputerdfinity-icp
23,Ethereum Classic,,,,21/06/2021 21:26:26,116.31 million,,,N/A,Common,40.15,4.67 billion,1.96 billion,116.31 million,"Upbit,OKEx,Binance,DigiFinex,Huobi Global,Bithumb,Coinbase Pro,BitMart,Gate.io,Coinone,Hotbit,EXRATES,AscendEX (BitMax),Dex-Trade,BTCMarkets,NovaDAX,BuyUcoin,Dove Wallet,Bitwired,IndependentReserve",https://coinranking.com/coin/hnfQfsYfeIGUQ+ethereumclassic-etc
24,Algorand,,,,21/06/2021 21:26:27,5.57 billion,,,N/A,Common,0.7813,4.35 billion,163.21 million,5.57 billion,"Binance,Coinbase Pro,OKEx,Huobi Global,Kucoin,Kraken,Bithumb,Bitfinex,Exmo,BitMart",https://coinranking.com/coin/TpHE2IShQw-sJ+algorand-algo
25,PancakeSwap,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,https://bscscan.com/token/0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,Binance,21/06/2021 21:26:37,343.07 million,399470,69600130,N/A,Common,12.39,4.25 billion,236.82 million,343.07 million,"Binance,DigiFinex,BitMart,Bithumb Global,Kucoin,Bithumb,Gate.io,WazirX,Bitcoin.com,dcoin",https://coinranking.com/coin/ncYFcP709+pancakeswap-cake
26,Filecoin,0x0d8ce2a99bb6e3b7db580ed848240e4a0f9ae153,https://bscscan.com/token/0x0d8ce2a99bb6e3b7db580ed848240e4a0f9ae153,Binance,21/06/2021 21:26:47,80.92 million,5544,581967,N/A,Common,48.17,3.90 billion,1.32 billion,80.92 million,"Huobi Global,Binance,OKEx,DigiFinex,Coinbase Pro,Gate.io,Gemini,BitMart,Bitfinex,Upbit",https://coinranking.com/coin/ymQub4fuB+filecoin-fil
27,Monero,,,,21/06/2021 21:26:49,17.94 million,,,N/A,Common,211.51,3.79 billion,294.15 million,17.94 million,"Binance,OKEx,Bitcoin.com,Kraken,DigiFinex,Huobi Global,Poloniex,Bithumb Global,Kucoin,Bitfinex,Atomars,BTCsquare,RuDEX,Unnamed.Exchange,Float SV,Beaxy,PayRue",https://coinranking.com/coin/3mVx2FX_iJFp5+monero-xmr
28,SHIBA INU,,,,21/06/2021 21:26:50,"1,000.00 trillion",,,N/A,Common,0.0000064,3.71 billion,709.62 million,579.07 trillion,"Binance,Huobi Global,Gate.io,OKEx,BitMart,Kucoin,Uniswap v2,DigiFinex,Crypto.com,WazirX",https://coinranking.com/coin/xz24e0BjL+shibainu-shib
29,TRON,,,,21/06/2021 21:26:53,99.28 billion,,,N/A,Common,0.0547,3.61 billion,1.41 billion,66.14 billion,"Huobi Global,Binance,Bitcoin.com,Changelly PRO,Upbit,OKEx,DigiFinex,Poloniex,Bithumb,Gate.io,Coineal,MERCATOX,KickEX,Felixo,CoinEx,LBank,Nominex.io,ProBit,Bitcoiva,TOKOK,XBTS",https://coinranking.com/coin/qUhEFk1I61atv+tron-trx
30,Celsius Network,,,,21/06/2021 21:26:54,695.66 million,,,N/A,Common,5.64,3.54 billion,33.55 million,627.75 million,"FTX,Liquid,OKEx,Bitfinex,Uniswap v2,BitMart,Bittrex,Gate.io,Indodax,Bilaxy",https://coinranking.com/coin/rk5XwL6mIjUDp+celsiusnetwork-cel
31,EOS,0x56b6fb708fc5732dec1afc8d8556423a2edccbd6,https://bscscan.com/token/0x56b6fb708fc5732dec1afc8d8556423a2edccbd6,Binance,21/06/2021 21:27:06,1.03 billion,8646,342960,N/A,Common,3.59,3.39 billion,1.43 billion,944.83 million,"Binance,Huobi Global,Upbit,Changelly PRO,Bitcoin.com,OKEx,Bithumb,DigiFinex,BitMart,Coinbase Pro,Bitforex,MXC,Nami,AscendEX (BitMax),CoinEx,Bitinka,OceanEx,CoinJar,ProBit,MERCATOX",https://coinranking.com/coin/iAzbfXiBBKkR6+eos-eos
32,SafeMoon,0x8076c74c5e3f5852037f31ff0093eeb8c8add8d3,https://bscscan.com/token/0x8076c74c5e3f5852037f31ff0093eeb8c8add8d3,Binance,21/06/2021 21:27:16,1.00 quadrillion,2390435,7537066,N/A,Common,0.0000033,3.28 billion,15.52 million,1.00 quadrillion,"BitMart,Gate.io,LBank,PancakeSwap,MXC,BiKi,Bitrue,Hotbit,Bitforex,ZB Global",https://coinranking.com/coin/7gHjBh7YK+safemoon-safemoon
33,Aave,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,https://etherscan.io/token/0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,Etherium,21/06/2021 21:27:27,16.00 million,82746 (0.00%),915501,N/A,Common,219.59,2.81 billion,380.07 million,12.80 million,"Binance,OKEx,Coinbase Pro,Huobi Global,DigiFinex,Gate.io,FTX,Kraken,Kucoin,Uniswap v2,MXC,Bitkub,TOKOK,ProBit,Kyber Network,HitBTC,BTCAlpha,CoinEx,Bitladon,Float SV",https://coinranking.com/coin/ixgUfzmLR+aave-aave
34,OKB,0x75231f58b43240c9718dd58b4967c5114342a86c,https://etherscan.io/token/0x75231f58b43240c9718dd58b4967c5114342a86c,Etherium,21/06/2021 21:27:37,300.00 million,44444 (0.00%),96618,N/A,Common,10.24,2.74 billion,579.77 million,267.44 million,"OKEx,BitMart,Gate.io,FTX,Indodax,DragonEx,BKEX,Hotbit,BiKi,LBank",https://coinranking.com/coin/PDKcptVnzJTmN+okb-okb
35,Compound Dai,,,,21/06/2021 21:27:38,116.42 billion,,,N/A,Common,0.02145,2.50 billion,597.81 million,116.42 billion,"Compound,Curve",https://coinranking.com/coin/lT__vMO7l+compounddai-cdai
36,LEO,,,,21/06/2021 21:27:40,995.24 million,,,N/A,Common,2.46,2.43 billion,"927,167",985.97 million,"Bitfinex,OKEx,Gate.io,ZB",https://coinranking.com/coin/mqtUpyBxu8O8+leo-leo
37,NEO,,,,21/06/2021 21:27:42,100.00 million,,,N/A,Common,33.01,2.38 billion,610.86 million,72.20 million,"Binance,OKEx,Upbit,Changelly PRO,Bitcoin.com,DigiFinex,Huobi Global,BitMart,Kucoin,Gate.io,CoinEx,MXC,BuyUcoin,Bitladon,Nash,Float SV,RightBTC,Lykke,BC Bitcoin,Atomars",https://coinranking.com/coin/cVaOmQWainv7g+neo-neo
38,Cosmos,,,,21/06/2021 21:27:44,238.53 million,,,N/A,Common,9.88,2.36 billion,209.72 million,238.53 million,"Binance,OKEx,Huobi Global,Coinbase Pro,DigiFinex,BitMart,Kucoin,Upbit,Bithumb,Kraken,PayRue",https://coinranking.com/coin/Knsels4_Ol-Ny+cosmos-atom
39,Compound Ether,,,,21/06/2021 21:27:45,58.52 million,,,N/A,Common,39.25,2.30 billion,7.33 million,58.52 million,Compound,https://coinranking.com/coin/p_GHkOeDNKw0+compoundether-ceth
40,Bitcoin SV,,,,21/06/2021 21:27:47,18.77 million,,,N/A,Common,119.97,2.25 billion,611.64 million,18.77 million,"Huobi Global,OKEx,Changelly PRO,DigiFinex,BitMart,Upbit,Gate.io,Bithumb,Bitfinex,Bittrex,Dove Wallet,BC Bitcoin,SouthXchange,CREX24,Bit2C,EXRATES",https://coinranking.com/coin/VcMY11NONHSA0+bitcoinsv-bsv
41,FTX Token,,,,21/06/2021 21:27:49,337.93 million,,,N/A,Common,25.75,2.24 billion,85.81 million,87.06 million,"FTX,Binance,Bitfinex,AscendEX (BitMax),CoinEx",https://coinranking.com/coin/NfeOYfNcl+ftxtoken-ftt
42,Maker,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,https://etherscan.io/token/0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,Etherium,21/06/2021 21:28:00,"991,423.40",82009 (0.00%),1445757,N/A,Common,"2,195.66",2.18 billion,141.39 million,"991,423.39","DigiFinex,Binance,Coinbase Pro,OKEx,Huobi Global,Uniswap v2,FTX,SushiSwap,Bitcoin.com,Kucoin,Folgory,Bitkub,MXC,Uniswap,Bitrue,BTCAlpha,BitBay,CoinEx,NovaDAX,Paribu",https://coinranking.com/coin/qFakph2rpuMOL+maker-mkr
43,IOTA,,,,21/06/2021 21:28:02,2.78 billion,,,N/A,Common,0.7582,2.11 billion,92.37 million,2.78 billion,"Binance,OKEx,Upbit,Huobi Global,Coinone,Bitvavo,Bitpanda,Gate.io,Liquid,HitBTC",https://coinranking.com/coin/LtWwuVANwRzV_+iota-miota
44,Klaytn,,,,21/06/2021 21:28:04,10.53 billion,,,N/A,Common,0.8257,2.02 billion,132.19 million,2.45 billion,"Bithumb,Coinone,OKEx,Gate.io,Bittrex,Liquid,GDAC,Bilaxy,LBank,MXC",https://coinranking.com/coin/M9bj_WrX+klaytn-klay
45,Kusama,,,,21/06/2021 21:28:05,10.00 million,,,N/A,Common,222.48,2.00 billion,385.96 million,8.98 million,"Binance,OKEx,Huobi Global,DigiFinex,BitMart,Kraken,Kucoin,Gate.io,Bithumb,Bitfinex",https://coinranking.com/coin/ePlOuwd_e+kusama-ksm
46,Avalanche,,,,21/06/2021 21:28:07,385.92 million,,,N/A,Common,11.38,1.96 billion,98.13 million,172.42 million,"Binance,OKEx,DigiFinex,Huobi Global,Kucoin,Gate.io,Coinone,OKCoin,Bittrex,Bitfinex",https://coinranking.com/coin/dvUj0CzDZ+avalanche-avax
47,Crypto.com Chain,,,,21/06/2021 21:28:08,100.00 billion,,,N/A,Common,0.0932,1.90 billion,63.87 million,20.39 billion,"Crypto.com,OKEx,Upbit,Huobi Global,BitMart,Bitcoin.com,Bittrex,Kucoin,DigiFinex,Bithumb",https://coinranking.com/coin/65PHZTpmE55b+cryptocomchain-cro
48,Huobi Token,,,,21/06/2021 21:28:10,500.00 million,,,N/A,Common,9.50,1.60 billion,435.43 million,168.88 million,"Huobi Global,Gate.io,BitMart,FTX,Kucoin,Uniswap v2,Poloniex,EtherFlyer,WTZ Exchange,BiKi",https://coinranking.com/coin/DXwP4wF9ksbBO+huobitoken-ht
49,SUSHI,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,https://etherscan.io/token/0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,Etherium,21/06/2021 21:28:21,225.06 million,55402 (0.00%),2264747,N/A,Common,6.89,1.53 billion,449.12 million,222.65 million,"Binance,OKEx,Huobi Global,Coinbase Pro,SushiSwap,FTX,DigiFinex,Bitfinex,Gate.io,BitMart,ProBit,BitUBU,BTCAlpha,Dex-Trade,KickEX,ZB,CoinEx,NovaDAX,LBank,OceanEx",https://coinranking.com/coin/ql3Jj4Tge+sushi-sushi
50,Hedera HashGraph,,,,21/06/2021 21:28:23,50.00 billion,,,N/A,Common,0.1750,1.51 billion,127.24 million,8.62 billion,"Binance,OKEx,Huobi Global,Upbit,Bittrex,Bitcoin.com,WazirX,Indodax,Gate.io,Liquid",https://coinranking.com/coin/jad286TjB+hederahashgraph-hbar
51,Waves,,,,21/06/2021 21:28:25,105.42 million,,,N/A,Common,13.91,1.47 billion,196.96 million,105.38 million,"Binance,OKEx,Upbit,BitMart,Huobi Global,Waves.Exchange,Bitcoin.com,Bithumb,Exmo,Kraken,SatoExchange,BTCsquare,Float SV,PayRue,STEX",https://coinranking.com/coin/J8xX4Fc9PxEat+waves-waves
52,THORChain,,,,21/06/2021 21:28:27,461.67 million,,,N/A,Common,6.26,1.46 billion,230.06 million,233.84 million,"Binance,THORChain,FTX,SushiSwap,Bithumb Global,Uniswap v2,Gate.io,Binance DEX,CoinTiger,Bilaxy",https://coinranking.com/coin/ybmU-kKU+thorchain-rune
53,Decred,,,,21/06/2021 21:28:29,21.00 million,,,N/A,Common,106.20,1.39 billion,15.66 million,13.05 million,"OKEx,Binance,Huobi Global,Poloniex,Bittrex,Gate.io,Exmo,Bitvavo,Kucoin,OceanEx",https://coinranking.com/coin/1wJlqkxIpJKLN+decred-dcr
54,BitTorrent,1002000,https://tronscan.org/#/address/1002000,Unknown,21/06/2021 21:28:39,990.00 billion,,,N/A,Common,0.00210,1.39 billion,413.20 million,659.95 billion,"Upbit,Binance,Huobi Global,OKEx,DigiFinex,Bithumb,Bithumb Global,BitMart,Kucoin,Gate.io",https://coinranking.com/coin/3cx3h5-CGPD4+bittorrent-btt
55,Tezos,,,,21/06/2021 21:28:41,880.16 million,,,N/A,Common,2.57,1.38 billion,142.12 million,536.33 million,"Binance,OKEx,Coinbase Pro,Upbit,Huobi Global,DigiFinex,Kraken,BitMart,Kucoin,Bitfinex",https://coinranking.com/coin/fsIbGOEJWbzxG+tezos-xtz
56,The Transfer Token,,,,21/06/2021 21:28:42,2.00 billion,,,N/A,Common,13.10,1.38 billion,1.72 million,105.08 million,"DigiFinex,LBank",https://coinranking.com/coin/lb0YZfa1n+thetransfertoken-ttt
57,Huobi BTC,,,,21/06/2021 21:28:44,"39,906.37",,,N/A,Common,"32,979.66",1.32 billion,1.45 million,"39,906.37","Curve,Hotbit,Honeyswap",https://coinranking.com/coin/upmyKdAQ+huobibtc-hbtc
58,Dash,,,,21/06/2021 21:28:46,10.19 million,,,N/A,Common,128.69,1.31 billion,320.38 million,10.19 million,"Binance,BitMart,OKEx,Huobi Global,Bitcoin.com,DigiFinex,Coinbase Pro,Kraken,Bithumb Global,Gate.io,Bitforex,Bitinka,CoinField,CoinEx,MXC,Folgory,Nominex.io,EXRATES,MERCATOX,Tidex",https://coinranking.com/coin/C9DwH-T7MEGmo+dash-dash
59,Chiliz,0x3506424f91fd33084466f402d5d97f05f8e3b4af,https://etherscan.io/token/0x3506424f91fd33084466f402d5d97f05f8e3b4af,Etherium,21/06/2021 21:28:57,8.89 billion,89656 (0.00%),602553,N/A,Common,0.2186,1.28 billion,464.13 million,5.85 billion,"Binance,Upbit,Huobi Global,OKEx,Changelly PRO,Bitcoin.com,BitMart,DigiFinex,Bitvavo,FTX",https://coinranking.com/coin/GSCt2y6YSgO26+chiliz-chz
60,Zcash,,,,21/06/2021 21:28:59,12.04 million,,,N/A,Common,105.50,1.27 billion,398.52 million,12.04 million,"Binance,OKEx,Bitcoin.com,Huobi Global,BitMart,DigiFinex,Gate.io,Coinbase Pro,Kraken,Kucoin,Felixo,BitBay,Kuna,Bitladon,BTC Trade UA,Dove Wallet,CREX24,Float SV,B4U,Graviex",https://coinranking.com/coin/aRGRWLf2RYNq4+zcash-zec
