,Token Name,Address,Address Url,Crypto Type,Time Stamp,Max Supply,# of Holder,Transfers,Decimals,Token Type
0,Official Mars Token,0x4e30910845f0cb4f66781b35c832eafc09774022,https://etherscan.io/token/0x4e30910845f0cb4f66781b35c832eafc09774022,Etherium,21/06/2021 15:29:16,5000000000000,22,95,18,New
1,ePlatinum,0x57b3140f522a3ef2f98c046f78e0d03075908591,https://etherscan.io/token/0x57b3140f522a3ef2f98c046f78e0d03075908591,Etherium,21/06/2021 15:29:16,3020431757.17100195036326116,157,898,18,New
2,Football Inu,0x48a3d9510f7c2aa61a285ccb4eaa5ba072692468,https://etherscan.io/token/0x48a3d9510f7c2aa61a285ccb4eaa5ba072692468,Etherium,21/06/2021 15:29:16,1000000000000,1111,3567,9,New
3,Cookie Inu,0x22709596fc3c3f3ad865b5a52f66af156aca32a9,https://etherscan.io/token/0x22709596fc3c3f3ad865b5a52f66af156aca32a9,Etherium,21/06/2021 15:29:16,100000000000000000,26,57,9,New
4,Zet Inu,0xbc130b1cd40c722f54baaa1c92651dd630d73d99,https://etherscan.io/token/0xbc130b1cd40c722f54baaa1c92651dd630d73d99,Etherium,21/06/2021 15:29:16,1000000000000,226,782,9,New
5,Nabox,0x630bc7dd0abfc2d196289ce09db947dd2cafae7c,https://etherscan.io/token/0x630bc7dd0abfc2d196289ce09db947dd2cafae7c,Etherium,21/06/2021 15:29:16,21286653149.036859109363312254,253 ( 22.925%),716,18,New
6,Gucci_Inu,0xcdd475d3e64ef21b5dd8b9920143d5b0b19f42c2,https://etherscan.io/token/0xcdd475d3e64ef21b5dd8b9920143d5b0b19f42c2,Etherium,21/06/2021 15:29:16,1000000000000000,2,3,9,New
7,MansionCash,0x4a013d18330880167a2507bc7b2a90bd2c912ec7,https://etherscan.io/token/0x4a013d18330880167a2507bc7b2a90bd2c912ec7,Etherium,21/06/2021 15:29:16,98506129548726.873378506,172,963,9,New
8,Vara  Inu,0xb798ab0b48a9fd695e9e3b501ecab7a2fac4a6c2,https://etherscan.io/token/0xb798ab0b48a9fd695e9e3b501ecab7a2fac4a6c2,Etherium,21/06/2021 15:29:16,1000000000000000,17,31,18,New
9,Be Loaded Finance,0xa1b6fc4f2ab4e41c49e92121dc3a1ebc7549b695,https://etherscan.io/token/0xa1b6fc4f2ab4e41c49e92121dc3a1ebc7549b695,Etherium,21/06/2021 15:29:16,1000000000,33,47,18,New
10,Rolar  Inu,0x31925997851d0516f3d603150b2ee00b41ba899c,https://etherscan.io/token/0x31925997851d0516f3d603150b2ee00b41ba899c,Etherium,21/06/2021 15:29:16,1000000000000000,14,22,18,New
11,Rising Inu,0x23a76287b0a1f96d2409dacd35d1cdc5d90d7b1d,https://etherscan.io/token/0x23a76287b0a1f96d2409dacd35d1cdc5d90d7b1d,Etherium,21/06/2021 15:29:16,200000000000000,7,13,5,New
12,PolkaDoge,0x339a112b5919bcf5311cda0fe176cc69b67008cc,https://etherscan.io/token/0x339a112b5919bcf5311cda0fe176cc69b67008cc,Etherium,21/06/2021 15:29:16,1000000000000000,44 ( -2.273%),102,9,New
13,DUMB Token,0xbc2878faa8a634ab92b1e8194cca9a88db52e8df,https://etherscan.io/token/0xbc2878faa8a634ab92b1e8194cca9a88db52e8df,Etherium,21/06/2021 15:29:16,123456789,13,17,18,New
14,Ever Rising Inu,0xe0fe35312c8c8a2d5a70bd594ec8e6335f6b45dd,https://etherscan.io/token/0xe0fe35312c8c8a2d5a70bd594ec8e6335f6b45dd,Etherium,21/06/2021 15:29:16,500000000000000,81,176,5,New
15,Hishu Inu Finance,0x89c58d698066c84caede98640fcd1ed01d74fe50,https://etherscan.io/token/0x89c58d698066c84caede98640fcd1ed01d74fe50,Etherium,21/06/2021 15:29:16,1000000000000000,53,83,9,New
16,EtherDog,0x253d91dd6ea22d0d50220fd84ccba14047e5e644,https://etherscan.io/token/0x253d91dd6ea22d0d50220fd84ccba14047e5e644,Etherium,21/06/2021 15:29:16,1000000000000000,32,51,9,New
